index,answer,prediction
1412,ЛЮБЛЮ ТЕБЯ ДО ЛУНЫ И ОБРАТНО,ЛЮБЛЮ ТЕБЯ 20 ΛYHb И ОБРАТИО
1413,Костик 16 июля 2018 в 10.30 вес 3750 гр. рост 53 см,Костик 16 6 10.30 2018 ШлЯ bec 3750 2p. pocm 53 CM.
1414,Ваш текст,BAW TEKCT
1415,Настюше 1 годик,Цена только за надпись Настюше 1годик
1416,ЛЮБЛЮ ТЕБЯ,ЛЮБЛЮ ТЕБЯ
1417,bye-bye Ivanova!,bye-bye  [vaneva!
1418,Ваша надпись,Bawa надпись
1419,18 мне уже!,18 MHe yжe!
1420,Папины принцессы!,M Патины npunu  podom
1421,ШАРЫЗЧ ВОЗДУШНЫЕ ШАРЫ В ВОЛГОГРАДЕ,WAPb34 оздушиые шары в волгограде
1422,"ЛЮБИМАЯ, СПАСИБО ЗА НАШЕГО СЫНА!",АЮБИМАЯ CПACHBO 3A НАШЕГО CbIHA
1423,Настёне 16,Hacmne 16 @HAKUNA.project @HAKUNAproject
1424,Единственной Мамочке на свете!,Единственной Manorke на свете!
1425,НАЛИВАЙ А ТО УЙДУ!,"ЖЕЛАЮ PA3РEWИTE ПО КАПЕЦ! HAPPY FUCKING ДЁД Тb NN HAPPY B-DAY АИВ НАЛИВАЙ! ATO ""3PEШИTE ЖЕЛАЮ УЙДУ! ЕП ПОФИ ЧЕГ"
1426,С днём рождения,Сднём рождения
1427,здесь может быть ваша надпись ,ЗДЕСЬ МОЖЕТ БЫТЬ BAWA НАДПИСЬ
1428,НЕ  ЖДИ Чуда ЧУДИ сам!,HE 4YДА ЖДH ЧУДИ can
1429,Люблю тебя как до ЛУНЫ и обратно,Людлю тебя какдо JУHb иобратно DARД - MAA
1430,С Днём Свадьбы,eu ag6d
1431,Багульник,Багульник
1432,Я ЗДЕСЬ из-за ТОРТА,ЯЗДЕСЬ M3-3А TOPTA
1433,"Бэллочка, С днем Рождения!","Bomorka, Сднем Рождения!"
1434,с днем рождения,ДHEM РoжAеHnя
1435,I love you to the moon and back,fovegon ← to themo and bad
1436,"Лерочка, Happy Birthday!","Лерочка, Happy Birthday!"
1437,Надюлечке роднулечке от Ченюли,Hаdювечие OT Венюш
1438,Любимому Братику,Людимому Братшку
1439,Ваша надпись,Baua надпись
1440,BE MY VALENTINE,BE MY VALENTINE
1441,17.10.08 МIМО ПРОХОДИЛ,17168 MIMO ПРОХОДИЛ
1442,ANIU KOCHAM CIE,ANIU KOCHAM CIE
1443,мы были на волосок от жизни,4ПAн6MиK МЫ БЫЛИ НАВОЛОСОК ОТ WHU3HU
1444,minimal,minimal
1445,In loving memory of Eva Dobraszczyk 26.11.83 - 27.10.08 To sit in the shade on a fine day and look upon verdure is the most perfect refreshment: Jane Austen,In loving memory of Eva Dobraszczyk 26.11.83 - 27.10.08 To sit in the shade on a fine day and look upon verdure is the most perfect refreshment: Jane Austen
1446,ПРАВИЛА ПОСЕЩЕНИЯ ПАРКА КУЛЬТУРЫ И ОТДЫХА ДОМА ОФИЦЕРОВ ЗАБАЙКАЛЬСКОГО КРАЯ,"ПРАВИЛА ПОСЕЩЕНИЯ ПАРКА КУЛЬТУРЫ И ОТДЫХА ДОМА ОФИЦЕРОВ ЗАБАЙКАЛЬСКОГО КРАЯ Работа парка осуществляется по следующему режиму: в летний период с 7.00 часов до 23.00 часов; -повреждать и переставлять малые рхитектурные формы (скамейки, вазоны, урны), наносить ·в зимний период с 7.00 часов до 21.00 часов. надписи и рисунки; Находясь на территории парка, посетители добровольно соглашаются на соблюдение -повреждать скульптуры, водные сооружения (фонтаны, водоемы) и наносить надписи и Правил посещения Парка культуры и отдыха Дома офицеров Забайкальского края. рисунки на них; Полный текст правил опубликован на официальном сайте ГАУ ВИЦДом офицеров Забайкальского края». -во избежание столкновения и нанесения физического вреда проходить на территорию парка с велосипедами, мотоциклами, с любыми самоходными средствами передвижения 1.На территории парка устанавливается особый режим охраны и пользования. и передвигаться по территории с использованиям указанных транспортных средств за исключением: детских колясок, трехколесных велосипедов, самокатов для детей 2. Доступ в парк свободный и осуществляется на бесплатной основе. в возрасте до пяти лет, лиц на инвалидных колясках, а также кроме предусмотренных аттракционами парка и арендаторов парка; 3. Для обеслечения безопасности в парке ведется видеонаблюдение. -проведение выступлений, не относящихся к роду деятельности парка, политические 4.Изображения и видеозаписи, сделанные посетителем во время посещения парка, могут митинги, сбор денежных средств, организованные групповые религиозныевыступления использоваться только для частного домашнего использования или ритуалы, демонстрации, учебные классы, протесты в любом месте парка или его прилегающей территории; 5.Администрация парка не несет ответственности за несчастные случаи возникшие в результате несоблюдения посетителями правил безопасности при осмотре выставочной торговать сувенирной и любой другой продукцией, распространять билеты, осущестелять военной техники, правил поведения на детской площадке, правил безопасности при посещени иную коммерческую деятельность без договора и согласования с администрацией Дома офицеров; и аттракционов, правил поведения у водных сооружений. -заниматься всеми видами художественной самодеятельности, проводить массовые В целях сохранения и надлежащего использования территории Парка культуры и отдыха мероприятия без письменного согласования с администрацией Дома офицеров; Дома офицеров Забайкальского края, а также с целью обеспечения безопасности посетителей на территории парка запрещается: Контроль выполнения настоящих Правил осуществляют смотрители парка, спужба охраны. -проходить на территорию парка и выгуливать домашних животных всех видов Входы, выходы, звакуационные пути, проходы, предназначенные для работников службы спасения, скорой помощи, службы эксплуатации, должны быть всегда доступны, открыты -портить и ломать деревья и кустарники; и свободны от препятствий. Администрация ГАУ ВИЦ Дом офицеров Забайкальского края»"
1447,С ЛЁГКИМ ПАРОМ!,СЛЁГКИМ ПАРОМ!
1448,00,00
1449,00,00
1450,421133,421133
1451,9999,9999
1452,ЗЕНИТ ОД СЧЁТ 2,CYET
1453,000000,000000
1454,ДВА ГОДА ГАРАНТИИ,ДВА ГОДА ГАРАНТИИ
1455,CLARK COUNTY McCARRAN INTERNATIONAL LAS VEGAS,
1456,SPORT,SPORT
1457,13:15 12.11.17 ледующая ос,10:512.11.17 
1458,LIVE NOW,LIVE NOW
1459,ШКОЛА,ШКОЛА
1460,Kitfort,Kitfort Базовая U Разогрев 1 Bapka + Томление Makc. Жаpка
1461,YAKIMASPORT,YAKIMASPORT SPORTS TRAININGACCESIORIES
1462,htopRoyalSun,htopRoyalSun
1463,МОЯ ЖИЗНЬ- МОИ ПРАВИЛА,МОЯ ЖИЗНЬ МОИ ПРАВИЛА
1464,NEON,NEON
1465,Dream,Dream
1466,HOTEL, HOTWJ
1467,Just Married,Juet Montnd
1468,LIVE,
1469,M SHOE REPAIR,SHOE REPAIR
1470,Love,Loe @
1471,РЫБОЛОВ,РЫБОЛОЬ
1472,OUT OF YOUR LEAGUE!,© OUT OF YOUR LEAGUE! CHIPOTLE AIOL FORKS POONS DEET KETCHUP
1473,Lashes,Lashes
1474,TASHA Beauty CAFE,TASHA Bey CAFÉ
1475,hello,hello
1476,LOVE,Lve
1477,ALEX,DONTGO TROUGH LIFE WITHOUT GOAL UNCLEJOHN
1478,Love,ore
1479,Enjoy,Eryoy NEO HONGBA ModslNe-126-3000-20 tnpu120VAC 5066He 0.M Dwtpt 3kY 30mA
1480,coffee,Coff ee
1481,ЦВЕТЫ,ЦВЕTЫ
1482,Your logo Here,Your Logo Here
1483,RESTAURANT BAR,RESTAURANT BAR
1484,10:27,10:27  X O :
1485,LIVE,LIVE)
1486,GAME CLUB,GAME CLUB
1487,Coffee SHOP,Coffee SHOP
1488,APERTURE LABORATORIES,APERTURE LABORATORIES
1489,TRUST ME YOU CAN DANCE,TRUSTME YOU CAN DANCE Teqlar
1490,шаверма,шаверма
1491,Viber Insider,Viber nsider
1492,BAR HDJ SIGN,BAR HDJ SIGN
1493,MOTEL,MOTEL VACACY
1494,WELCOME TO Fabulous LAS VEGAS NEVADA,WELCOME LAS VEGAS ToFabulous NEVADA
1495,Disput Detail,"10:27  ← Dispute Detail Dispute Info Dispute opened Nov. 27 2020 Dispute reason Counterfeit item AliExpress Judoment Style not as described Valid ALIEXPRESS JUDGMENT DETAILS Status: Dispute Finished Proposed solution Refund (EUR £ 6,89) Reminder This dispute has been processed Evidences +5 Order Messages Dispute History"
1496,возьми кофе с собой,ВОЗЬМИ KOΦE ССОБОЙ 
1497,Morapito RACING,Merabito RACING
1498,Весна,BesHa * О NEON
1499,Регион Строй Реставрация,RegиoH Строй Реставрация iprint.nu stalitsaprint.ru stoitsaprint. prnt onntn
1500,БУХГАЛТЕРИЯ,znaki.ru БУХГАЛТЕРИЯ www.wa
1501,ДИРЕКТОР ДЕПАРТАМЕНТА РАЗВИТИЯ Андриянов Валерий Владимирович,ДИРЕКТОР ДЕПАРТАМЕНТА РАЗВИТИЯ Андриянов Валерий Владимирович
1502,315 КАБИНЕТ ХИМИИ,315 КАБИНЕТ XIMOH PERSONA-STENDRU
1503,ПРИЕМНАЯ ДИРЕКТОР Фамилия Имя Отчество,ПРИЕМНАЯ ДИРЕКТОР Φ амилия Имя Отчество
1504,400,400
1505,25 ОТОЛАРИНГОЛОГ,ООЛАРИНГОЛОГ
1506,и косметолог Правительства,оореихосметолог еео Поавительства CankteRaregoura 29 1
1507,ЗАМЕСТИТЕЛЬ НАЧАЛЬНИКА УФМС РОССИИ ПО ЯРОСЛАВСКОЙ ОБЛАСТИ,ЗАМЕСТИТЕЛЬ НАЧАЛЬНИКА YФMCPOCCИИ ПО ЯРОСЛАВСКОЙ ОБЛАСТИ
1508,ЧАСЫ РАБОТЫ:,Со-СОсТОчНЫй c ЧАСЫ РАБОТЫ: c9.00до21.00 <500A018.00 1E547(490)9421000
1509,107,AEBKНA 107 EYNНORA
1510,"Конференц-зал ООО ""Файффс Фрут Импортс""",Конференц-зал О0О «Файффс Фрут Импортс»
1511,Государственное казенное учреждение Управление строительства Ленинградской област,Государственное казенное учреждение «Управление строительства Ленинградской области
1512,название компании,. Палое налинваиеоргн в несвольестрое НАЗВАНИЕ КОМПАНИИ Пouaaтд 4a poc.0010 Нeoa om 4apmcc4.00go18.08 apmc1.00go188 62
1513,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР
1514,Перед входом помолитесь,Перед ВХОДОМ помолитесь
1515,КАБИНЕТ СПЕЦИАЛИСТА,КАБИНЕТ СПЕЦИАЛИСТА
1516,КАБИНЕТ ЛИТЕРАТУРЫ,КАБИНЕТ ЛИТЕРАТУРЫ
1517,Системный администратор,Системный администратор
1518,переговорная welcome,ПЕРЕГОВОРНАЯ welcome
1519,ЛЮДИ ДОБРЫЕ ПОМОЖЕМ ЧЕМ МОЖЕМ,"ΛЮΔ,И ΔОБРЫЕ ПОМОЖЕМЧЕММОНЕМ"
1520,ОРГАНИЗАЦИОННО- -КАДРОВОЕ УПРАВЛЕНИЕ,ОРГАНИЗАЦИОННО- -КАДРОВОЕ УПРАВЛЕНИЕ
1521,КАБИНЕТ МАТЕМАТИКИ,КАБИНЕТ МАТЕМАТИКИ
1522,ВЕЛЛЕ,KОMАНИЯ «ВЕЛЛЕ»
1523,НЕ ВХОДИТЬ,HE ВХОДИТЬ
1524,Директор Иванов Иван Иванович,Директор Иванов Иван Иванович
1525,Массажный кабинет,Массажный кабинет 35 36 37
1526,403,4 этаж офис 403 ArtGlonce кабинет № 403
1527,ПРИЕМНАЯ,ПРИЕМНАЯ
1528,ТЕРАПЕВТ 9,ТЕРАПЕВТ 9
1529,ИДЕТ СОВЕЩАНИЕ НЕ ВХОДИТЬ ШТРАФ 500 руб.,ИДЕТ СОВЕЩАНИЕ НЕ ВХОДИТЬ ШТРАФ 500 py6.
1530,Название таблички,Название таблички
1531,Начальник инженерно-технического отдела Иванов И.И.,Начальник инженерно-технического отдела Иванов И.И.
1532,МЕДТЕХ КА,ДЕПАРТАМЕНТ ЗДРАБООКРАНЕНИЯ ГОРОДАМОСКВЫ HOE SK1 ГОРМЕДТЕХНИКА
1533,Теплопункт посторонним вход воспрещён!,Теплопункт ПОСТОРОННИМ ВХОД ВОСПРЕЩЁН!
1534,Материальный склад,000 Материальный склад
1535,БУХГАЛТЕРИЯ,× БУХГАЛТЕРИЯ
1536,ЛОГОПЕД,ЛОГОПЕД
1537,АРХ ТЕКТУРНО-СМЕТНЫЙ ОТДЕЛ,XMEKT 2eMw BOEHENT 000E1 VAE АРХТЕКТУРНО-СМЕТНЫЙ
1538,RUS N RUSCON,RUSCON
1539,Я ТЕБЯ ЛЮБЛЮ!,4 ТЕБ9 Λ05Λ0!
1540,peace,PEACE
1541,Я ЛЮБЛЮ ТЕБЯ ДИАНА ЭТЬН.,910БЛ0 ТЕБЯ DuaHa ЭТbH
1542,Text,Text
1543,FRI END,FRIEMD
1544,СВОБОДУ ВЛАДИМИР ВОРОНЦОВ,
1545,PRIDE,PRIDE
1546,Колечка ЛЮБЛЮ,
1547,БИТЬ И БЕРЕЧ,ОБИТЬ ИБЕРЕЧЬ
1548,"ТОЛЯ Я БЕРЕМЕННА ОТ ТЕБЯ! РИТА ТОЛЯ, И Я БЕРЕМЕННА ОТ ТЕБЯ! Наташа Толя, я так-то тоже беременна от тебя! Мила",ТЛЯ.ИЯБЕРЕМЕННА толя я беременна огтебя OT TEEA! puma HATNLA meo9
1549,"Мяушки, с Днём Люблю тебя.",Падию меб. Bnene! Простые pagocmu! CYH Дарите змоции! www.prostorad.ru
1550,ОТКРЫВАЙ КОБРА!!,OТКРЫВАЙ KOБPA!!
1551,"Полина, прости меня пожалуйста! Даня","ПОЛИНА, ПРости меня ПОЖАЛУЙСТА 8AH9"
1552,2015,SS 2015
1553,"Соколовский 
 не 
 террорист",Сokoлoвcknu  TEPPOPUC
1554,ПРОСТИ!!!,ПРОСТИИ
1555,"Севернее Кореи . Соцсети о санкциях, репрессиях и эмиграции ","""Севернее Кореи"". Соцсети о санкциях,репрессиях и эмиграции"
1556,ВИКА Я ЛЮБЛЮ ФАСОЛЬ!,ГОМb Я.1ЮБЛ0 DA
1557,Old School,Old School
1558,Вопрос 5,"Banpoc S написанное мелом на зсфальте двуднанное числи.Петя Коля и Пета остретиешись на упд.уендели одеил его на 9и затеу отнт 1, Результаты ссвтаи. приб с неу 4и атем под на7, а Кс Kаxоеообыnонаnисано"
1559,Всё будет хорошо!!!,Всё будет хорошо!!! 1e comneealca
1560,LETSBE Friends FOREVER,LET'SBE Friends FOREVER
1561,хватит!,  4PM
1562,Я люблю свою БАБУ,Я1650 СВОH БAБY
1563,ПИТЕР-,
1564,БЕСИШЬ МЕНЯ,00900 БЕСИЫЬ МЕНЯ
1565,С ДОБРЫМ УТРОМ! БЕСИШЬ МЕНЯ ,91  С ДОБРЫМ УТРОМ!
1566,Amelica.com для детей,Amelica.com для дотей 
1567,Лето в Подмосковье,*Лето в Подмосковье отсканируй меня
1568,KENTATSU,KENTA
1569,anextour,anextour 1 OR2XT DECC НЕЫВВЫЙОТРЫ
1570,ПОДКЛЮЧАЙ,ПОДКЛЮЧАЙ Ростелеком 8 1801000 800
1571,Aladdin,A DisNEp
1572,REDTAXI,REDTAXI VEDT #30
1573,наклейка на заднем стекле,НАКЛЕЙКА НА ЗАДНЕМ СТЕКЛЕ
1574,ПРЕДМЕТЫ КУХНИ,ПРЕДМЕТЫГКУХНИ
1575,Travel,.Travel
1576,Губка,Гбкайч КОАPРАНE ШТАНЫ
1577,Т КУРОРТ,
1578,Coc Cola,CocaCola CocrCola aC
1579,ESPRESSO,ESPRESSO
1580,"Twinkle 
 twinkle Little Star 
 Do you know how 
 Loved you are",Iwinkle Do you know how *Loved you are
1581,JACK,JACK My E
1582,A B C D E J G H I J K L M N O P Q R S T U V W X Y Z,BODEgGHT JKLMNOPG RSTUVXZ
1583,MENU,MENU
1584,presence,presence
1585,DRAW,DRAW х  SEN  ettera 10 MAKE PAR 2 3
1586,EVAN,EVAN
1587,I Love You to the moon...and back again.,ZLeYoI to the moon.and back again. XSE
1588,Странник,СТРАННИК (Warcs fes)
1589,this is us Our life. Our story. Our home.,this is us Our life. Our story. Our home.
1590,Z,
1591,"телефона, смотрите в другом объявлении",в продаже естьз сотовых телефона смотрите в другом объявлений
1592,tartness,tartness
1593,"HO 
 ME",HO ME
1594,Telephone,Telephone © © X 2 . о 0 - X 0
1595,love,
1596,a²+b²=c², $C{2^{}=C{²$
1597,мы страждем от засухи А.С. Пуш,109 X ПyW
1598,очень удобная и практичная вещь! вам так не кажется?,«ОЧЕНЬ УДОБНАЯ И ПРАКТИЧНАЯ ВЕЩЬ! BAMTAK HE КАЖЕТСЯ?
1599,Light Medium Demi Bold,Light EH3S Medium Demi Bold
1600,ПОЛЕЗНЫЕ ИГРЫ С ОГНЁМ,ПОЛЕЗНЫЕ ИГРЫ С ОГНЁМ нити дхдетей GAEENPEACF
1601,Методическая копилка,Методическая rоnика
1602,ДОБРОЕ УТРО,
1603,Областное информационно-пропагандистское мероприятие СтопГаджет!,Центр по профнлактиее детссодсрсвно-транслодтноо травматизма ГЕУДО«1ернсопарса» Областное информационно-пропагандистское мероприятие #СтопГаджет! Дато проведения с 4 по 9 апреля 2022 года -E
1604,2015,×20i5
1605,НАСЕЛЕНИЯ,
1606,ВОЛГ КОН СБОРНИК ФАНТАСТИЧЕСКИХ РАССКАЗОВ,БОЛгДкон СБОРНИК ФАНТАСТИЧЕСКИХ РАССКАЗОВ
1607,C.Э. Фриш Сквозь призму времени,С.3.Фрш Сквозь призму времени
1608,NO,NO Убетеменрoсбаоофисе Ужаеные кетты: nomy.tfomy Cobaalre tamny WE2 Алминистроони Офи ед сн мим Xyparn Mn! TTapepnm 0p Masypoa
1609,Развитие социальной активности младших школьников,Развитие социальной активности Методические материаты к прогромма младших школьникоп «Орпята России MOCXBA 2022
1610,КОФЕЙНЯ,КОФейнЯ
1611,MarcO'Polo,Marc OPdlo;
1612,РУССКИЙ СТАНДАРТ БАНК,PYCCКИЙCTАНДАРТ БАHК
1613,ЗаБава САЛОН КРАСОТЫ,3aбaba САЛОН КРАСОТЫ
1614,smplewine винотека,smplewine ВИНОТЕКА
1615,НОЖОМ  ВИЛКОЙ ГОРОДСКОЕ КАФЕ,НОЖОМ&ВИЛКОЙ ТОРОДСКОЕ КАФЕ
1616,К-РАУТА СТРОЙМАСТЕР,СПРОЙМАСТЕР
1617,Салон красоты СТАТУС,Салон красоты CTATYC
1618,ресторан olivo рестораны,РЕСТОРАНЫ Ftivo РЕСТОРАH
1619,Стрижи ТОРГОВЫЙ ЦЕНТР,(тпижи ТОРГОВЫЙ ЦЕНТР
1620,ДОБРЫЙ ЖАР,ДОБРЫЙ ЖАР копченне-консервирсваие
1621,БУФЕТЪ.,БУФТЬ
1622,AllTime.RU,AllTimeRU
1623,Cora,C Oral
1624,сафари фитнес,сaфapu футнес SMOF22RU
1625,mega,Mega
1626,ресторан украинской кухни СКОВОРОДА,КОВОРОД
1627,Ubik ЦИФРОВАЯ ТЕХНИКА,ПЫК ЦИФРОВАЯ ТЕХНИКА
1628,АЗБУКА ВКУСА,АЗБYКAВКУCА
1629,Охотный ряд коммерческий банк,Охотныйряд коммерческийбанк
1630,аппарат Совета депутатов муниципального округа Бирюлёво Западн ЮЖНЫЙ АДМИНИСТРАТИВНЫЙ ОКР,annapat Совета депутатов муниципального округа Бирюлёво Западно ЮЖНЫЙ АДМИНИСТРАТИВНЫЙ ОКРУЕ
1631,ДВОРЕЦ ТВОРЧЕСТВА ДЕТЕЙ И МОЛОДЕЖИ молодежный творческий форум китеж плюс,* 1  ДВОРЕЦ ТВОРЧЕСТВА ДЕТЕЙ И МОЛОДЕЖИ МОЛОДЕЖНЫЙ ТВОРЧЕСКИЙ ФОРУМ КИТЕЖ ПЛЮС PN-DC 9-00 - 21-00 МЕТАГРАΦ
1632,МИЛТИ,МИЛТИ
1633,СЛОН завод рекламы,
1634,семейная парикмахерская Family,семейная парикмахерская FAmfLy
1635,ТУШИНСКАЯ,TYWИHCКAЯ
1636,МАСКОУСКАЯ,МACKOYCKAЯ
1637,ОРОДСКАЯ,ЕГОРОДСКАЯ
1638,бабин яр,A6HH R 
1639,М,
1640,МЕТРОПОЛИТЕНА,МЕТПОПОЛИТЕНА
1641,ЛУБЯНКА,АYБЯНКА KPACHAA BECHA
1642,Stalingrad,Stalingrad dreamstime.com 023364561360kpe
1643,КАШИРСКАЯ КАШИРСКАЯ,КАШИТРСКАЯ КАШИРСКАЯ
1644,Это э ктробус.,Этоэлектробус.
1645,Это электробус.,M8y1 A0op Этоэлектробус.
1646,Это электроб,Этоэлектроб 1 43121
1647,Это электробус.,Этоэлектроб 
1648,Это электробус.,Это электробус.
1649,Это электробус.,Этоэлектробус. UNOMAG.RU
1650,Это электробус.,Этоэлектробус.
1651,300,300
1652,Это электробус.,Этоэлектробус.
1653,Это электробус.,Этоэлектробус 6 рузовнк Пресе-R1
1654,Это электробус,
1655,500-й Это электробус.,500й Этоэлектробус.
1656,ГОРОДСКОЙ ЭЛЕКТРОБУС,ГОРОДСКОЙ ЗЛЕКТРОБУС
1657,161779,161779
1658,Это электробус.,Этоэлктробус.
1659,Это электробус.,Это электробус.
1660,Это электробус.,Этоэлектробус
1661,тробус.,тробус
1662,Это лектробус.,Этоэлектробус.
1663,ГОРОДСКОЙ ЭЛЕКТРОБУС,ГОРОДСКОЙ ЭЛЕКТРОБУС C  FOUA JK98 imokam
1664,Это электробус.,Этоэлектробус.
1665,Петербург в движении,НЕТЕРБУРГ ВДВИЖЕНИИ
1666,ГОРОДСКОЙ ЭЛЕКТРОБ,ГОРОДСКОЙ ЭЛЕКТРОБИС DRIVE ELECTRO 8 
1667,electric bus,electric KURP-SULTAN bus
1668,1000-й Это электробус,Этоэлектроб
1669,1000-й Это электробус.,1000 1000-й Этоэлектробус.
1670,1000-й Это электробус.,1000-й Эоэлектробус.
1671,90 100,70 90 100-
1672,Это электробус.,Этоэлектробус 400 
1673,ГОРОДСКОЙ ЭЛЕКТРОБУС,DRIVE ГОРОДСКОЙЭЛЕКТРОБУС K JRIVE BLECTO 3
1674,Яндекс,Snelo w Яндекс Тас
1675,Яндекс Такси 95-55-55,SдексТакси C6559
1676,Яндекс Такси,Яндекс Такси
1677,Е838НМ,Яндек E838HM790
1678,1343,1343
1679,Яндекс Такси, ЯндексТакси
1680,Яндекс Такси,Яндекс Такси
1681,Yandex,Mandex S10
1682,9,99P 1 WN
1683,1217,1217
1684,ЯНДЕКС ТАКСИ,ЯНДЕКС.ТАКСИ M
1685,ЯНДЕКС ТАКСИ,ЯНДЕКС.ТАКСИ 6C790 lgclac
1686,49, 49P Htla
1687,Яндекс Такси 456 495 9999999,456 Яндекс Такси (495)9999999
1688,Яндекс Такси,BATILEFIELDE Яндекс Такси
1689,Яндекс Такси,Яндекс Такси
1690,49,49P
1691,lamoda,9e lamoda
1692,Яндекс Go Такси 7 495 999 99 99,Яндекс Go Такси (495) 999
1693,Промокоды и скидки для вызова такси Яндекс,Промокоды и скидки для вызова такси Яндекс
1694,Яндекс Такси,ASYWA ЯндексТакси …
1695,Вызывающе быстро Яндекс.Такси,. Вызывающе быстро Яндекс.Такси taxi.yandex.ru
1696,Яндекс,Яндекс Такси
1697,Яндекс Такси,ЯндексТакси 9a
1698,МАШИНЫ ДЛЯ КОМФОРТ КЛАССА,МАШИНЫ ДЛЯ КОМФОРТ КЛАССА
1699,ndex,widex
